PMID,Abstract
25483025,"Rickettsia rickettsii infection is being increasingly recognized as an important cause of fatal acute illness in Brazil, where this tick-borne disease is designated Brazilian spotted fever (BSF). In this study we report five fatal cases of BSF in employees of an animal shelter in an urban area in the municipality of Rio de Janeiro in southeast Brazil after a natural disaster on 11 January 2011. Four of the cases occurred from 27 January to 11 April 2011, while the fifth fatal case was identified in April 2012. Three cases were confirmed by molecular analysis and two by epidemiological linkage. An investigation of BSF was performed in the animal shelter, and blood samples were collected from 115 employees and 117 randomly selected dogs. The presence of high levels (1024-4096) of antibodies against spotted fever group rickettsiae was found in three (2·6%) employees and 114 (97·5%) dogs. These findings emphasize the need to consider BSF as a possible cause of undifferentiated febrile illness, especially dengue and leptospirosis, in patients occupationally exposed to dogs heavily infested by ticks, mainly working at kennels and animal shelters that have inadequate space for the animals housed and frequently providing an environment conducive to exposure to pathogens such as R. rickettsii."
25681033,"Wolbachia is the most widespread intracellular α-proteobacteria maternally inherited endosymbiont of insects and nematodes. These bacteria are associated with a number of different reproductive phenotypes of their hosts. Relatively few studies have dealt with distribution of infections across populations and with the influence of these bacteria on host genetic diversification and speciation. The aims of this study are to determine the distribution and rate of infection and to characterize the Wolbachia strains associated with Philaenus spumarius spittlebug (Hemiptera) by using multilocus sequencing typing (MLST) analysis and host phylogeography. The results showed that infection rate was significantly different between members of both main mitochondrial phylogenetic lineages of P. spumarius. We detected much higher infection rates of Wolbachia in P. spumarius populations from the north-east clade than the south-west clade. Moreover, the frequency of these infections varied within and outside the contact zone known from the Carpathians. Given the reproductive alterations which are often associated with this endosymbiont, Wolbachia probably maintain genetic differentiation of its hosts in its contact zone in the Carpathians. This is one of the first studies demonstrating the presence of Wolbachia across a large part of the range of insect species, including the contact zone. The spread of Wolbachia in P. spumarius populations can potentially cause speciation by compromising the potential reproductive barrier between infected and uninfected populations. We discuss possible implications of Wolbachia infection inducing cytoplasmic incompatibility in the population dynamics of this spittlebug but confirm that more studies are also required."
25867285,"Zoonoses, especially rickettsial diseases, are rarely reported in solid organ transplant recipients. We report here a case of murine typhus in a 69-year-old liver transplant recipient, who presented with acute febrile illness 5 years post transplantation. Although receiving treatment with broad-spectrum antibiotics, he was still febrile and developed progressive dyspnea. Laboratory results showed elevated transaminases and his chest radiograph revealed bilateral interstitial infiltration. The diagnosis of murine typhus was made by a 4-fold rise in specific Rickettsia typhi antibody, using indirect immunofluorescent assay. He dramatically improved after treatment with doxycycline for 7 days. To our knowledge, this is the first case report of murine typhus in a liver transplant recipient."
25899011,"In many arthropods, maternally inherited endosymbiotic bacteria can increase infection frequency by manipulating host reproduction. Multiple infections of different bacteria in a single host population are common, yet few studies have documented concurrent endosymbiont phenotypes or explored their potential interactions. We hypothesized that spiders might be a particularly useful taxon for investigating endosymbiont interactions, because they are host to a plethora of endosymbiotic bacteria and frequently exhibit multiple infections. We established two matrilines from the same population of the linyphiid spider Mermessus fradeorum and then used antibiotic curing and controlled mating assays to demonstrate that each matriline was subject to a distinct endosymbiotic reproductive manipulation. One matriline was co-infected with Rickettsia and Wolbachia and produced offspring with a radical female bias. Antibiotic treatment eliminated both endosymbionts and restored an even sex ratio to subsequent generations. Chromosomal and fecundity observations suggest a feminization mechanism. In the other matriline, a separate factorial mating assay of cured and infected spiders demonstrated strong cytoplasmic incompatibility (CI) induced by a different strain of Wolbachia. However, males with this Wolbachia induced only mild CI when mated with the Rickettsia-Wolbachia females. In a subsequent survey of a field population of M. fradeorum, we detected these same three endosymbionts infecting 55% of the spiders in almost all possible combinations, with nearly half of the infected spiders exhibiting multiple infection. Our results suggest that a dynamic network of endosymbionts may interact both within multiply infected hosts and within a population subject to multiple strong reproductive manipulations."
25899523,"Wolbachia are maternally transmitted bacteria found in most arthropods and nematodes, but little is known about their distribution and reproductive dynamics in the Malaysian dengue vector Aedes albopictus. In this study, polymerase chain reaction (PCR) was used to determine the presence of Wolbachia from field collected Ae. albopictus from various parts of the country using wsp specific primers. Ae. albopictus had Wolbachia infection ranging from 60 to 100%. No sequence diversity of wsp gene was found within all wAlbA and wAlbB sequences. Our findings suggest that Wolbachia infection amongst the Malaysian Ae. albopictus were not homogenously distributed in all districts in Malaysia. The presence of Wolbachia in different organs of Ae. albopictus was also determined. Wolbachia were only found in the ovaries and midguts of the mosquitoes, while absent in the salivary glands. The effects of Wolbachia on Ae. albopictus fecundity, longevity and egg viability were studied using infected and uninfected colonies. The removal of Wolbachia from Ae. albopictus resulted in reduced fecundity, longevity and egg viability, thus. Wolbachia seem to play a vital role in Ae. albopictus reproductive system."
25991706,"We determined the distribution of microbial endosymbionts as possible agents of parthenogenesis in Oribatida. We screened mites from 20 species of 14 families suspected to be parthenogenetic from the absence or rarity of males. Our research included parthenogenesis-inducing bacteria Wolbachia spp., Cardinium spp., Rickettsia spp., and additionally Arsenophonus, Spiroplasma and microsporidia that can also manipulate host reproduction. We detected the endosymbionts by PCR-based methods and transmission electron microscopy (TEM) observation of fixed and stained preparations of host cells. We detected Wolbachia only in one Oribatida species, Oppiella nova, by identifying Wolbachia genes using PCR. TEM observations confirmed infection by the endosymbiont in O. nova and its lack in other Oribatida species. Sequence analysis of hcpA and fbpA genes showed that the Wolbachia strain from O. nova was different from strains characterized in some insects, crustaceans (Isopoda), mites (Tetranychidae), springtails (Hexapoda) and roundworms (Nematoda). The analysis strongly suggested that the Wolbachia sp. strain found in O. nova did not belong to supergroups A, B, C, D, E, F, H or M. We found that the sequences of Wolbachia from O. nova were clearly distantly related to sequences from the bacteria of the other supergroups. This observation makes O. nova a unique Wolbachia host in terms of the distinction of the strain. The role of these micro-organisms in O. nova remains unknown and is an issue to investigate."
26004817,"A dataset of bacterial diversity found in mites was compiled from 193 publications (from 1964 to January 2015). A total of 143 mite species belonging to the 3 orders (Mesostigmata, Sarcoptiformes and Trombidiformes) were recorded and found to be associated with approximately 150 bacteria species (in 85 genera, 51 families, 25 orders and 7 phyla). From the literature, the intracellular symbiont Cardinium, the scrub typhus agent Orientia, and Wolbachia (the most prevalent symbiont of arthropods) were the dominant mite-associated bacteria, with approximately 30 mite species infected each. Moreover, a number of bacteria of medical and veterinary importance were also reported from mites, including species from the genera Rickettsia, Anaplasma, Bartonella, Francisella, Coxiella, Borrelia, Salmonella, Erysipelothrix and Serratia. Significant differences in bacterial infection patterns among mite taxa were identified. These data will not only be useful for raising awareness of the potential for mites to transmit disease, but also enable a deeper understanding of the relationship of symbionts with their arthropod hosts, and may facilitate the development of intervention tools for disease vector control. This review provides a comprehensive overview of mite-associated bacteria and is a valuable reference database for future research on mites of agricultural, veterinary and/or medical importance."
26025805,Filtrations were applied to separate vacuoles of Rickettsiales-like organism Candidatus Xenohaliotis californiensis. Vacuoles were visualized by staining with nucleic acid fluorochrome and their identity was confirmed by Laser Capture Microdissection and PCR. This methodology separates vacuoles and allows studies without the need of isolation in synthetic media or cell lines.
26054615,"Rhipicephalus sanguineus is an ectoparasite of medical and veterinary significance, which can transmit a number of pathogens including Babesia canis, Ehrlichia canis, and Rickettsia conorii. MicroRNAs (miRNAs) are recognized as regulators in sex differentiation in dioecious species. We here investigated and compared the miRNA profiles of male and female adults of R. sanguineus by combining Solexa deep sequencing with bioinformatics platform and quantitative real-time PCR. A total of 11.88 and 16.09 million raw reads were obtained from male and female R. sanguineus, respectively. By mapping to the reference genome, 59 and 76 miRNA candidates from the female and male parasite were obtained, with 19 of each consistent with known Ixodes scapularis miRNAs deposited in the miRBase database. Besides, 51 miRNAs were shared by the two genders, and 8 and 25 were female and male specific, respectively. The number of predicted targets of the identified miRNAs ranged from 1 to 383 with an average of 176. Functional analysis showed that a number of predicted targets corresponded to transcription, splicing, and translation factors, elongation factors, and growth factors which were essential for the development of the parasite. Enrichment analysis revealed that some functions of the predicted targets were higher in female than in male, such as antioxidant and electron carrier. The present study firstly described the global profiling of miRNAs in male and female R. sanguineus and identified a number of gender-specific miRNAs, which are likely to participate in the sex differentiation/maintenance process and provide novel resources for better understanding of the biology of the parasite, and may further lead to effective control of the parasite and diseases it causes."
26055741,"Blood-brain barrier (BBB) function and cerebrospinal fluid (CSF) biomarkers were measured in patients admitted to hospital with severe neurological infections in the Lao People's Democratic Republic (N = 66), including bacterial meningitis (BM; N = 9) or tuberculosis meningitis (TBM; N = 11), Japanese encephalitis virus (JEV; N = 25), and rickettsial infections (N = 21) including murine and scrub typhus patients. The albumin index (AI) and glial fibrillary acidic protein (GFAP) levels were significantly higher in BM and TBM than other diseases but were also raised in individual rickettsial patients. Total tau protein was significantly raised in the CSF of JEV patients. No differences were found between clinical or neurological symptoms, AI, or biomarker levels that allowed distinction between severe neurological involvement by Orientia tsutsugamushi compared with Rickettsia species."
