PMID,Abstract
36312964,"Rickettsia , Anaplasma , and Ehrlichia belonging to the order Rickettsiales are causative agents of tick-borne diseases in humans. During 2021, 434 ticks including Rhipicephalus microplus and R. haemaphysaloides were collected from three sampling sites in Yunnan Province, Southwest China, and analyzed for the presence of these bacteria. Nine bacterial species were identified, including two Rickettsia spp., three Anaplasma spp., and four Ehrlichia spp., some of which are potential human pathogens. Genetic and phylogenetic analysis on 16S rRNA, gltA , groEL , ompA , ompB , and sca4 genes indicated the presence of a novel spotted fever group Rickettsia (SFGR) named "" Candidatus Rickettsia shennongii"" in six of the 38 R. haemaphysaloides ticks from two locations, Dehong Autonomous Prefecture and Honghe City. Another SFGR species, Candidatus Rickettsia jingxinensis was detected in ticks from all three sites, with an overall positive rate of 62.67%. Three other human pathogenic species, Anaplasma ovis (1.38%, 6/434) , Ehrlichia canis (16.36%, 71/434), and E. chaffeensis (0.23%, 1/434) were detected in these ticks and characterized. Moreover, Ehrlichia sp. (4.84%, 21/434), E. minasensis (7.37%, 32/434), A. marginale (6.91%, 30/434), and Cadidatus Anaplasma boleense (1.15%, 5/434) were detected in R. microplus ticks, for which pathogenicity to humans remains to be determined. The results reveal the remarkable diversity of Rickettsiales bacteria in ticks from Yunnan Province, Southwest China. The high infection rate of some human pathogenic bacteria in ticks may indicate potential infection risk in humans, and it highlights the need for surveillance in local populations."
36311671,"Ticks were identified as arthropods that are pathogenic vectors. Dermacentor nuttalli is one of the dominant tick species in Inner Mongolia, and it carries and transmits a wide range of pathogenic microorganisms. However, at present, only the detection of D. nuttalli adult ticks and D. nuttalli different developmental stages carrying one specific pathogen, or the next-generation sequencing of D. nuttalli adult ticks were available. In this study, we investigated the microbial community structures of D. nuttalli in different growth stages under laboratory artificial feeding conditions. Total DNA was extracted from seven growth stages (female adult ticks, eggs, larval ticks, engorged larval ticks, nymphal ticks, engorged nymphal ticks, and second-generation adult ticks) obtained from laboratory artificial feeding of engorged D. nuttalli female ticks in Inner Mongolia. Then, the 16S rDNA V3-V4 hypervariable region was amplified to construct an Illumina PE250 library. Finally, 16S rRNA sequencing was performed on Illumina Novaseq 6000 platform. The sequencing data were analyzed using molecular biology software and platforms. The Illumina PE250 sequencing results showed that the egg stage had the highest diversity and number of species (28.74%, 98/341), while the engorged nymph stage had the lowest diversity and number of species (9.72%, 21/216). A total of 387 genera of 22 phyla were annotated in D. nuttalli , with 9 phyla and 57 genera found throughout all 7 growth stages. The dominant phylum was Proteobacteria; the dominant genera were Arsenophonus and Rickettsia ; and the genera with the highest relative abundance in the 7 growth stages were Pseudomonas, Paenalcaligenes, Arsenophonus, Arsenophonus, Pseudomonas, Arsenophonus , and Rickettsia , respectively. Among the 23 exact species annotated, Brucella melitensis exhibits pathogeny that poses a serious threat to humans and animals. In this study, the microbial community composition at different growth stages of D. nuttalli was comprehensively analyzed for the first time."
36339235,"Scrub typhus, caused by Orientia tsutsugamushi , is a serious public health problem in the Asia-Pacific region, threatening the health of more than one billion people. China is one of the countries with the most serious disease burden of scrub typhus. Previous epidemiological evidence indicated that meteorological factors may affect the incidence of scrub typhus, but there was limited evidence for the correlation between local natural environment factors dominated by meteorological factors and scrub typhus. This study aimed to evaluate the correlation between monthly scrub typhus incidence and meteorological factors in areas with high scrub typhus prevalence using a distributed lag non-linear model (DLNM). The monthly data on scrub typhus cases in ten provinces from 2006 to 2018 and meteorological parameters were obtained from the Public Health Science Data Center and the National Meteorological Data Sharing Center. The results of the single-variable and multiple-variable models showed a non-linear relationship between incidence and meteorological factors of mean temperature (Tmean), rainfall (RF), sunshine hours (SH), and relative humidity (RH). Taking the median of meteorological factors as the reference value, the relative risks (RRs) of monthly Tmean at 0°C, RH at 46%, and RF at 800 mm were most significant, with RRs of 2.28 (95% CI: 0.95-5.43), 1.71 (95% CI: 1.39-2.09), and 3.33 (95% CI: 1.89-5.86). In conclusion, relatively high temperature, high humidity, and favorable rainfall were associated with an increased risk of scrub typhus."
28846279,"Rickettsia akari is the etiologic agent of rickettsialpox. R. akari is transmitted by the house mouse mite, Liponyssoides sanguineus . One week after a mite bite, a vesicle appears, which dries up, leaving an eschar. The rash is often papular but can also be vesicular, hence the name rickettsialpox. Like other rickettsiae in the genus, R. akari is an intracellular gram-negative pathogen with features intermediate between viruses and bacteria. R. akar i was initially classified as a member of the spotted fever group (SFG) of rickettsia, but it is now placed in the transitional group, which has features of both the spotted fever group and the typhus group (TG) of rickettsiae. R. akari has a DNA plasmid-like Rickettsia felis of the transitional group."
36389139,"Rickettsia is a genus of nonmotile, Gram-negative, non-spore-forming, highly pleomorphic bacteria that cause severe epidemic rickettsioses. The spotted fever group and typhi group are major members of the genus Rickettsia. Rickettsial species from the two groups subvert diverse host cellular processes, including membrane dynamics, actin cytoskeleton dynamics, phosphoinositide metabolism, intracellular trafficking, and immune defense, to promote their host colonization and intercellular transmission through secreted effectors (virulence factors). However, lineage-specific rickettsiae have exploited divergent strategies to accomplish such challenging tasks and these elaborated strategies focus on distinct host cell processes. In the present review, we summarized current understandings of how different rickettsial species employ their effectors' arsenal to affect host cellular processes in order to promote their own replication or to avoid destruction."
36419728,"Ticks are vectors for many infectious diseases, such as spotted fever group (SFG) rickettsioses and borreliosis, and are valuable in the study of pathogen ecology. Ticks have several growth stages that vary considerably in size; therefore, in most cases, DNA extracted from ticks is insufficient for subsequent studies, particularly for multiple pathogen screening and genotyping. Unbiased amplification of DNA from tick samples before analysis is a major requirement for subsequent ecological surveys and other studies. Phi29 DNA polymerase, an enzyme that exhibits strand displacement activity, can exponentially amplify DNA randomly, generating large quantities of DNA. In the present study, we developed a Phi29-based unbiased exponential amplification (PEA) assay to obtain sufficient tick DNA for genetic analysis. By using tick-borne pathogen detection and genotyping as a model, we tested and evaluated the feasibility of the assay. DNA was extracted from single ticks and subjected to PEA. The results showed that tick DNA could be amplified up to 10 5 fold. The amplified products were successfully used for pathogen screening and genotyping. Rickettsia was successfully detected and genotyped in samples with amplified DNA from single ticks. Furthermore, we identified a new genotype of Rickettsia from ticks collected from Dandong city, Liaoning province, Northeast China. This PEA assay is universal and can be extended to other applications where the quantity of DNA is greatly limited."
36439862,"The Gulf Coast tick, Amblyomma maculatum , is a vector of several tick-borne pathogens, including Rickettsia parkeri . The ability of R . parkeri to persist within the tick population through transovarial and transstadial transmission, without apparently harming the ticks, contributes to the pathogen's perpetuation in the tick population. Previous studies have shown that the R . parkeri load in A . maculatum is regulated by the tick tissues' oxidant/antioxidant balance and the non-pathogenic tick microbiome. To obtain further insights into the interaction between tick and pathogen, we performed a bulk RNA-Seq for differential transcriptomic analysis of ovaries and salivary glands from R . parkeri -infected and uninfected ticks over the feeding course on a host. The most differentially expressed functional category was of bacterial origin, exhibiting a massive overexpression of bacterial transcripts in response to the R . parkeri infection. Candidatus Midichloria mitochondrii and bacteria from the genus Rickettsia were mainly responsible for the overexpression of bacterial transcripts. Host genes were also modulated in R . parkeri -infected tick organs. A similar number of host transcripts from all analyzed functional categories was negatively and positively modulated, revealing a global alteration of the A . maculatum transcriptome in response to pathogen infection. R . parkeri infection led to an increase in salivary transcripts involved in blood feeding success as well as a decrease in ovarian immune transcripts. We hypothesize that these transcriptional alterations facilitate pathogen persistence and transmission within tick population."
36386421,"Background: Severe complications may cause a fatal or disabling outcome in patients with Rickettsia japonica infection but are poorly understood. Methods: We identified 11 patients with only Rickettsia japonica infection with metagenomics next generation sequencing (mNGS) during April to November 2021 at Yichang Central People's Hospital, China. Clinical data were obtained through review of medical records. Results: Most patients realized that they had symptoms about one or two days after being bitten. Fever (91%), pulmonary effusion (91%), rash or erythema (100%), abnormal urine (100%), neutropenia (100%), lymphopenia (100%), and thrombocytopenia (100%) were the most common clinical signs. Six severely ill patients were admitted to the intensive care unit and five had mild symptoms. Systemic manifestations such as vomiting (83%), neurological manifestations (100%), and disseminated intravascular coagulation (100%) were more frequently observed in the severe cases, 33.3% of whom developed purpura fulminans requiring amputation or skin graft, and 16.6% died two days after admission. Some patients experienced sequelae. Conclusion: Our study found that patients with critical Rickettsia japonica infection complicating disseminated intravascular coagulation had high risk of poor outcome."
36383899,"Brazilian spotted fever, a zoonotic disease transmitted by ticks, is caused by Rickettsia rickettsii. We report a fulminant case of this zoonosis in a healthy 46-year-old military man in the urban region of Rio de Janeiro city, in October, 2021. Ticks and capybaras (Amblyomma sculptum, Hydrochoerus hydrochaeris, respectively) were identified in the military fields, pointing to the participation of this large synanthropic rodent, recognized as an efficient amplifier host of Rickettsia rickettsii in Brazil. As the military population is considered a risk group for spotted fever, it is necessary to alert health professionals to the importance of the early detection of the disease and its adequate management, mainly in populations that are particularly at risk of exposure to ticks, in order to avoid fatal outcomes."
36467722,"I. ricinus is an obligate hematophagous parasitic arthropod that is responsible for the transmission of a wide range of zoonotic pathogens including spirochetes of the genus Borrelia, Rickettsia spp., C. burnetii , Anaplasma phagocytophilum and Francisella tularensis , which are part the tick´s microbiome. Most of the studies focus on ""pathogens"" and only very few elucidate the role of ""non-pathogenic"" symbiotic microorganisms in I. ricinus . While most of the members of the microbiome are leading an intracellular lifestyle, they are able to complement tick´s nutrition and stress response having a great impact on tick´s survival and transmission of pathogens. The composition of the tick´s microbiome is not consistent and can be tied to the environment, tick species, developmental stage, or specific organ or tissue. Ovarian tissue harbors a stable microbiome consisting mainly but not exclusively of endosymbiotic bacteria, while the microbiome of the digestive system is rather unstable, and together with salivary glands, is mostly comprised of pathogens. The most prevalent endosymbionts found in ticks are Rickettsia spp., Ricketsiella spp., Coxiella -like and Francisella -like endosymbionts, Spiroplasma spp. and Candidatus Midichloria spp. Since microorganisms can modify ticks' behavior, such as mobility, feeding or saliva production, which results in increased survival rates, we aimed to elucidate the potential, tight relationship, and interaction between bacteria of the I. ricinus microbiome. Here we show that endosymbionts including Coxiella -like spp., can provide I. ricinus with different types of vitamin B (B2, B6, B7, B9) essential for eukaryotic organisms. Furthermore, we hypothesize that survival of Wolbachia spp., or the bacterial pathogen A. phagocytophilum can be supported by the tick itself since coinfection with symbiotic Spiroplasma ixodetis provides I. ricinus with complete metabolic pathway of folate biosynthesis necessary for DNA synthesis and cell division. Manipulation of tick´s endosymbiotic microbiome could present a perspective way of I. ricinus control and regulation of spread of emerging bacterial pathogens."
